Category: Arts & Entertainment

Month,Action: (Worldwide)
2010-01,25
2010-02,25
2010-03,25
2010-04,26
2010-05,27
2010-06,30
2010-07,28
2010-08,27
2010-09,22
2010-10,23
2010-11,23
2010-12,27
2011-01,28
2011-02,26
2011-03,25
2011-04,27
2011-05,26
2011-06,28
2011-07,29
2011-08,28
2011-09,27
2011-10,29
2011-11,32
2011-12,35
2012-01,32
2012-02,31
2012-03,30
2012-04,35
2012-05,37
2012-06,35
2012-07,38
2012-08,40
2012-09,41
2012-10,39
2012-11,37
2012-12,45
2013-01,47
2013-02,44
2013-03,41
2013-04,41
2013-05,45
2013-06,53
2013-07,50
2013-08,46
2013-09,47
2013-10,49
2013-11,51
2013-12,52
2014-01,53
2014-02,56
2014-03,54
2014-04,54
2014-05,52
2014-06,53
2014-07,64
2014-08,65
2014-09,58
2014-10,57
2014-11,60
2014-12,68
2015-01,66
2015-02,58
2015-03,60
2015-04,51
2015-05,53
2015-06,54
2015-07,58
2015-08,58
2015-09,50
2015-10,51
2015-11,52
2015-12,55
2016-01,59
2016-02,61
2016-03,57
2016-04,53
2016-05,53
2016-06,47
2016-07,60
2016-08,72
2016-09,74
2016-10,84
2016-11,80
2016-12,96
2017-01,92
2017-02,87
2017-03,81
2017-04,87
2017-05,81
2017-06,85
2017-07,100
2017-08,90
2017-09,45
2017-10,45
2017-11,44
2017-12,49
2018-01,50
2018-02,48
2018-03,69
2018-04,69
2018-05,68
2018-06,70
2018-07,69
2018-08,59
2018-09,47
2018-10,42
2018-11,43
2018-12,45
2019-01,47
2019-02,43
2019-03,44
2019-04,40
2019-05,39
2019-06,41
2019-07,28
2019-08,27
2019-09,36
2019-10,38
2019-11,41
2019-12,42
2020-01,43
2020-02,37
2020-03,49
2020-04,55
2020-05,50
2020-06,45
2020-07,48
2020-08,46
2020-09,44
2020-10,44
2020-11,41
2020-12,40
2021-01,42
2021-02,39
2021-03,38
2021-04,36
2021-05,37
2021-06,36
2021-07,37
2021-08,36
2021-09,34
2021-10,34
2021-11,33
2021-12,36
2022-01,43
2022-02,36
2022-03,32
2022-04,32
2022-05,32
2022-06,36
2022-07,37
2022-08,35
2022-09,31
2022-10,30
2022-11,33
2022-12,34
2023-01,35
2023-02,32
2023-03,30
2023-04,28
2023-05,29
2023-06,32
2023-07,29
2023-08,26
2023-09,26
2023-10,25
2023-11,27
2023-12,31
2024-01,31
2024-02,29
2024-03,27
2024-04,24
2024-05,24
2024-06,24
2024-07,24
2024-08,24
2024-09,23
2024-10,23
2024-11,24
2024-12,25
2025-01,25
2025-02,24
2025-03,22
2025-04,22
2025-05,22
2025-06,23
2025-07,22
2025-08,22
2025-09,21
