Category: Arts & Entertainment

Month,Adventure: (Worldwide)
2010-01,89
2010-02,88
2010-03,87
2010-04,91
2010-05,92
2010-06,94
2010-07,90
2010-08,93
2010-09,77
2010-10,80
2010-11,76
2010-12,94
2011-01,84
2011-02,77
2011-03,77
2011-04,84
2011-05,79
2011-06,90
2011-07,94
2011-08,89
2011-09,80
2011-10,81
2011-11,86
2011-12,94
2012-01,93
2012-02,86
2012-03,83
2012-04,84
2012-05,81
2012-06,92
2012-07,93
2012-08,90
2012-09,77
2012-10,71
2012-11,71
2012-12,80
2013-01,77
2013-02,75
2013-03,79
2013-04,75
2013-05,76
2013-06,84
2013-07,83
2013-08,80
2013-09,73
2013-10,68
2013-11,72
2013-12,81
2014-01,82
2014-02,80
2014-03,82
2014-04,75
2014-05,74
2014-06,77
2014-07,74
2014-08,74
2014-09,60
2014-10,62
2014-11,67
2014-12,69
2015-01,73
2015-02,65
2015-03,67
2015-04,63
2015-05,67
2015-06,64
2015-07,62
2015-08,65
2015-09,60
2015-10,59
2015-11,59
2015-12,64
2016-01,70
2016-02,64
2016-03,58
2016-04,57
2016-05,59
2016-06,59
2016-07,58
2016-08,56
2016-09,53
2016-10,52
2016-11,58
2016-12,59
2017-01,86
2017-02,94
2017-03,89
2017-04,100
2017-05,84
2017-06,86
2017-07,63
2017-08,48
2017-09,45
2017-10,41
2017-11,35
2017-12,38
2018-01,39
2018-02,35
2018-03,55
2018-04,63
2018-05,72
2018-06,65
2018-07,58
2018-08,47
2018-09,36
2018-10,32
2018-11,47
2018-12,48
2019-01,43
2019-02,44
2019-03,51
2019-04,56
2019-05,54
2019-06,64
2019-07,66
2019-08,54
2019-09,43
2019-10,42
2019-11,41
2019-12,43
2020-01,41
2020-02,41
2020-03,39
2020-04,40
2020-05,37
2020-06,33
2020-07,39
2020-08,44
2020-09,38
2020-10,34
2020-11,32
2020-12,38
2021-01,39
2021-02,47
2021-03,49
2021-04,47
2021-05,48
2021-06,45
2021-07,41
2021-08,44
2021-09,39
2021-10,39
2021-11,35
2021-12,36
2022-01,42
2022-02,40
2022-03,39
2022-04,38
2022-05,37
2022-06,37
2022-07,64
2022-08,49
2022-09,44
2022-10,55
2022-11,54
2022-12,54
2023-01,40
2023-02,50
2023-03,62
2023-04,47
2023-05,78
2023-06,48
2023-07,47
2023-08,50
2023-09,39
2023-10,41
2023-11,46
2023-12,36
2024-01,28
2024-02,25
2024-03,26
2024-04,22
2024-05,22
2024-06,21
2024-07,24
2024-08,24
2024-09,23
2024-10,24
2024-11,22
2024-12,40
2025-01,39
2025-02,29
2025-03,22
2025-04,19
2025-05,21
2025-06,21
2025-07,21
2025-08,22
2025-09,20
