Category: Arts & Entertainment

Month,Animation: (Worldwide)
2010-01,68
2010-02,66
2010-03,67
2010-04,66
2010-05,69
2010-06,66
2010-07,71
2010-08,71
2010-09,63
2010-10,66
2010-11,79
2010-12,66
2011-01,67
2011-02,62
2011-03,64
2011-04,69
2011-05,66
2011-06,67
2011-07,71
2011-08,78
2011-09,72
2011-10,79
2011-11,74
2011-12,77
2012-01,73
2012-02,73
2012-03,71
2012-04,75
2012-05,72
2012-06,83
2012-07,86
2012-08,80
2012-09,77
2012-10,76
2012-11,76
2012-12,84
2013-01,79
2013-02,83
2013-03,88
2013-04,85
2013-05,89
2013-06,94
2013-07,97
2013-08,100
2013-09,97
2013-10,89
2013-11,94
2013-12,100
2014-01,96
2014-02,95
2014-03,92
2014-04,86
2014-05,100
2014-06,92
2014-07,93
2014-08,98
2014-09,87
2014-10,88
2014-11,90
2014-12,87
2015-01,83
2015-02,87
2015-03,88
2015-04,85
2015-05,86
2015-06,80
2015-07,87
2015-08,88
2015-09,83
2015-10,82
2015-11,80
2015-12,81
2016-01,84
2016-02,84
2016-03,83
2016-04,83
2016-05,85
2016-06,80
2016-07,85
2016-08,83
2016-09,79
2016-10,83
2016-11,8
2016-12,<1
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,6
2018-08,3
2018-09,9
2018-10,4
2018-11,30
2018-12,32
2019-01,29
2019-02,29
2019-03,28
2019-04,24
2019-05,24
2019-06,26
2019-07,24
2019-08,25
2019-09,22
2019-10,24
2019-11,28
2019-12,29
2020-01,27
2020-02,25
2020-03,26
2020-04,26
2020-05,23
2020-06,19
2020-07,17
2020-08,16
2020-09,8
2020-10,1
2020-11,<1
2020-12,0
2021-01,0
2021-02,<1
2021-03,1
2021-04,14
2021-05,20
2021-06,31
2021-07,28
2021-08,28
2021-09,27
2021-10,28
2021-11,28
2021-12,29
2022-01,32
2022-02,30
2022-03,33
2022-04,34
2022-05,32
2022-06,34
2022-07,35
2022-08,35
2022-09,30
2022-10,31
2022-11,31
2022-12,32
2023-01,31
2023-02,32
2023-03,31
2023-04,31
2023-05,31
2023-06,33
2023-07,32
2023-08,32
2023-09,30
2023-10,30
2023-11,31
2023-12,31
2024-01,31
2024-02,34
2024-03,31
2024-04,31
2024-05,33
2024-06,32
2024-07,33
2024-08,33
2024-09,32
2024-10,33
2024-11,33
2024-12,33
2025-01,32
2025-02,32
2025-03,35
2025-04,33
2025-05,33
2025-06,33
2025-07,33
2025-08,34
2025-09,32
