Category: Arts & Entertainment

Month,Comedy: (Worldwide)
2010-01,33
2010-02,33
2010-03,30
2010-04,31
2010-05,33
2010-06,34
2010-07,36
2010-08,37
2010-09,31
2010-10,32
2010-11,32
2010-12,38
2011-01,43
2011-02,36
2011-03,36
2011-04,40
2011-05,35
2011-06,40
2011-07,47
2011-08,46
2011-09,37
2011-10,42
2011-11,43
2011-12,49
2012-01,49
2012-02,42
2012-03,39
2012-04,38
2012-05,36
2012-06,43
2012-07,48
2012-08,45
2012-09,39
2012-10,41
2012-11,42
2012-12,51
2013-01,51
2013-02,52
2013-03,48
2013-04,43
2013-05,43
2013-06,48
2013-07,50
2013-08,50
2013-09,47
2013-10,48
2013-11,54
2013-12,59
2014-01,62
2014-02,54
2014-03,51
2014-04,53
2014-05,54
2014-06,54
2014-07,58
2014-08,55
2014-09,48
2014-10,51
2014-11,53
2014-12,56
2015-01,58
2015-02,54
2015-03,51
2015-04,51
2015-05,50
2015-06,51
2015-07,50
2015-08,50
2015-09,47
2015-10,47
2015-11,48
2015-12,57
2016-01,59
2016-02,50
2016-03,44
2016-04,41
2016-05,43
2016-06,43
2016-07,46
2016-08,44
2016-09,43
2016-10,46
2016-11,53
2016-12,61
2017-01,66
2017-02,62
2017-03,55
2017-04,53
2017-05,52
2017-06,65
2017-07,94
2017-08,78
2017-09,53
2017-10,48
2017-11,47
2017-12,58
2018-01,62
2018-02,60
2018-03,70
2018-04,71
2018-05,73
2018-06,83
2018-07,86
2018-08,100
2018-09,97
2018-10,90
2018-11,94
2018-12,89
2019-01,85
2019-02,74
2019-03,74
2019-04,65
2019-05,64
2019-06,71
2019-07,70
2019-08,64
2019-09,56
2019-10,57
2019-11,59
2019-12,62
2020-01,51
2020-02,40
2020-03,53
2020-04,57
2020-05,45
2020-06,39
2020-07,37
2020-08,36
2020-09,33
2020-10,33
2020-11,33
2020-12,35
2021-01,38
2021-02,30
2021-03,26
2021-04,25
2021-05,28
2021-06,24
2021-07,25
2021-08,24
2021-09,21
2021-10,21
2021-11,21
2021-12,23
2022-01,31
2022-02,26
2022-03,22
2022-04,23
2022-05,21
2022-06,22
2022-07,22
2022-08,20
2022-09,20
2022-10,20
2022-11,19
2022-12,22
2023-01,23
2023-02,21
2023-03,17
2023-04,17
2023-05,16
2023-06,18
2023-07,19
2023-08,18
2023-09,16
2023-10,17
2023-11,20
2023-12,20
2024-01,21
2024-02,23
2024-03,20
2024-04,19
2024-05,20
2024-06,19
2024-07,18
2024-08,19
2024-09,18
2024-10,17
2024-11,19
2024-12,21
2025-01,22
2025-02,19
2025-03,18
2025-04,17
2025-05,17
2025-06,18
2025-07,18
2025-08,18
2025-09,16
