Category: Arts & Entertainment

Month,Drama: (Worldwide)
2010-01,24
2010-02,24
2010-03,23
2010-04,25
2010-05,26
2010-06,28
2010-07,26
2010-08,28
2010-09,30
2010-10,28
2010-11,26
2010-12,27
2011-01,27
2011-02,26
2011-03,25
2011-04,28
2011-05,28
2011-06,32
2011-07,32
2011-08,34
2011-09,33
2011-10,31
2011-11,31
2011-12,31
2012-01,35
2012-02,31
2012-03,31
2012-04,31
2012-05,31
2012-06,37
2012-07,35
2012-08,33
2012-09,36
2012-10,34
2012-11,35
2012-12,33
2013-01,32
2013-02,32
2013-03,33
2013-04,31
2013-05,31
2013-06,32
2013-07,37
2013-08,36
2013-09,34
2013-10,35
2013-11,38
2013-12,41
2014-01,42
2014-02,40
2014-03,40
2014-04,44
2014-05,44
2014-06,44
2014-07,43
2014-08,52
2014-09,45
2014-10,42
2014-11,44
2014-12,47
2015-01,50
2015-02,47
2015-03,44
2015-04,45
2015-05,45
2015-06,46
2015-07,45
2015-08,47
2015-09,44
2015-10,45
2015-11,45
2015-12,46
2016-01,47
2016-02,45
2016-03,47
2016-04,44
2016-05,44
2016-06,42
2016-07,45
2016-08,47
2016-09,45
2016-10,45
2016-11,8
2016-12,4
2017-01,9
2017-02,9
2017-03,10
2017-04,8
2017-05,8
2017-06,4
2017-07,0
2017-08,7
2017-09,9
2017-10,12
2017-11,<1
2017-12,1
2018-01,7
2018-02,10
2018-03,12
2018-04,16
2018-05,14
2018-06,17
2018-07,18
2018-08,17
2018-09,17
2018-10,16
2018-11,20
2018-12,20
2019-01,21
2019-02,21
2019-03,20
2019-04,17
2019-05,22
2019-06,26
2019-07,21
2019-08,19
2019-09,22
2019-10,26
2019-11,29
2019-12,28
2020-01,37
2020-02,44
2020-03,40
2020-04,52
2020-05,49
2020-06,33
2020-07,35
2020-08,41
2020-09,50
2020-10,64
2020-11,57
2020-12,62
2021-01,70
2021-02,87
2021-03,100
2021-04,83
2021-05,98
2021-06,94
2021-07,92
2021-08,89
2021-09,71
2021-10,80
2021-11,77
2021-12,57
2022-01,74
2022-02,67
2022-03,55
2022-04,47
2022-05,46
2022-06,51
2022-07,59
2022-08,42
2022-09,34
2022-10,34
2022-11,33
2022-12,31
2023-01,39
2023-02,43
2023-03,27
2023-04,22
2023-05,23
2023-06,25
2023-07,29
2023-08,22
2023-09,23
2023-10,24
2023-11,21
2023-12,26
2024-01,30
2024-02,24
2024-03,30
2024-04,31
2024-05,26
2024-06,28
2024-07,28
2024-08,27
2024-09,25
2024-10,28
2024-11,27
2024-12,30
2025-01,35
2025-02,25
2025-03,25
2025-04,28
2025-05,32
2025-06,29
2025-07,31
2025-08,30
2025-09,24
