Category: Arts & Entertainment

Month,Family: (Worldwide)
2010-01,48
2010-02,49
2010-03,46
2010-04,48
2010-05,49
2010-06,48
2010-07,49
2010-08,49
2010-09,47
2010-10,49
2010-11,49
2010-12,51
2011-01,51
2011-02,54
2011-03,47
2011-04,51
2011-05,49
2011-06,47
2011-07,51
2011-08,49
2011-09,48
2011-10,49
2011-11,52
2011-12,55
2012-01,52
2012-02,52
2012-03,51
2012-04,51
2012-05,52
2012-06,52
2012-07,54
2012-08,52
2012-09,52
2012-10,51
2012-11,53
2012-12,58
2013-01,56
2013-02,55
2013-03,55
2013-04,53
2013-05,51
2013-06,55
2013-07,57
2013-08,59
2013-09,55
2013-10,58
2013-11,58
2013-12,63
2014-01,64
2014-02,65
2014-03,62
2014-04,62
2014-05,65
2014-06,65
2014-07,71
2014-08,65
2014-09,61
2014-10,62
2014-11,67
2014-12,66
2015-01,65
2015-02,62
2015-03,61
2015-04,64
2015-05,65
2015-06,66
2015-07,68
2015-08,68
2015-09,65
2015-10,69
2015-11,67
2015-12,73
2016-01,71
2016-02,69
2016-03,64
2016-04,73
2016-05,72
2016-06,71
2016-07,76
2016-08,68
2016-09,71
2016-10,71
2016-11,82
2016-12,88
2017-01,84
2017-02,76
2017-03,77
2017-04,76
2017-05,80
2017-06,76
2017-07,83
2017-08,78
2017-09,76
2017-10,78
2017-11,74
2017-12,80
2018-01,79
2018-02,80
2018-03,76
2018-04,77
2018-05,69
2018-06,74
2018-07,74
2018-08,68
2018-09,66
2018-10,69
2018-11,76
2018-12,80
2019-01,80
2019-02,81
2019-03,77
2019-04,77
2019-05,73
2019-06,83
2019-07,86
2019-08,88
2019-09,78
2019-10,79
2019-11,80
2019-12,86
2020-01,80
2020-02,77
2020-03,82
2020-04,100
2020-05,98
2020-06,85
2020-07,81
2020-08,78
2020-09,77
2020-10,77
2020-11,74
2020-12,80
2021-01,75
2021-02,70
2021-03,69
2021-04,74
2021-05,79
2021-06,66
2021-07,75
2021-08,68
2021-09,66
2021-10,70
2021-11,72
2021-12,75
2022-01,69
2022-02,73
2022-03,73
2022-04,73
2022-05,71
2022-06,74
2022-07,79
2022-08,75
2022-09,76
2022-10,76
2022-11,71
2022-12,77
2023-01,77
2023-02,73
2023-03,75
2023-04,76
2023-05,86
2023-06,74
2023-07,74
2023-08,68
2023-09,68
2023-10,72
2023-11,71
2023-12,78
2024-01,74
2024-02,73
2024-03,69
2024-04,63
2024-05,65
2024-06,68
2024-07,66
2024-08,63
2024-09,64
2024-10,67
2024-11,66
2024-12,71
2025-01,68
2025-02,67
2025-03,62
2025-04,64
2025-05,64
2025-06,65
2025-07,69
2025-08,67
2025-09,61
