Category: Arts & Entertainment

Month,Fantasy: (Worldwide)
2010-01,54
2010-02,52
2010-03,48
2010-04,55
2010-05,51
2010-06,49
2010-07,55
2010-08,65
2010-09,48
2010-10,56
2010-11,52
2010-12,58
2011-01,62
2011-02,61
2011-03,53
2011-04,59
2011-05,56
2011-06,57
2011-07,60
2011-08,62
2011-09,56
2011-10,62
2011-11,70
2011-12,75
2012-01,77
2012-02,69
2012-03,68
2012-04,62
2012-05,61
2012-06,63
2012-07,72
2012-08,67
2012-09,63
2012-10,62
2012-11,72
2012-12,83
2013-01,74
2013-02,74
2013-03,79
2013-04,69
2013-05,70
2013-06,77
2013-07,78
2013-08,85
2013-09,77
2013-10,82
2013-11,87
2013-12,100
2014-01,98
2014-02,94
2014-03,85
2014-04,76
2014-05,81
2014-06,83
2014-07,84
2014-08,88
2014-09,80
2014-10,85
2014-11,86
2014-12,100
2015-01,98
2015-02,87
2015-03,81
2015-04,79
2015-05,82
2015-06,81
2015-07,79
2015-08,86
2015-09,78
2015-10,80
2015-11,78
2015-12,84
2016-01,86
2016-02,78
2016-03,71
2016-04,64
2016-05,68
2016-06,68
2016-07,66
2016-08,67
2016-09,63
2016-10,74
2016-11,64
2016-12,55
2017-01,29
2017-02,23
2017-03,23
2017-04,26
2017-05,31
2017-06,34
2017-07,42
2017-08,48
2017-09,36
2017-10,36
2017-11,45
2017-12,64
2018-01,76
2018-02,78
2018-03,70
2018-04,67
2018-05,55
2018-06,58
2018-07,61
2018-08,57
2018-09,57
2018-10,56
2018-11,67
2018-12,84
2019-01,87
2019-02,77
2019-03,64
2019-04,56
2019-05,54
2019-06,59
2019-07,75
2019-08,70
2019-09,60
2019-10,66
2019-11,70
2019-12,72
2020-01,73
2020-02,61
2020-03,73
2020-04,90
2020-05,75
2020-06,60
2020-07,64
2020-08,61
2020-09,65
2020-10,75
2020-11,72
2020-12,86
2021-01,88
2021-02,83
2021-03,75
2021-04,62
2021-05,62
2021-06,59
2021-07,60
2021-08,67
2021-09,56
2021-10,59
2021-11,59
2021-12,62
2022-01,69
2022-02,58
2022-03,58
2022-04,67
2022-05,62
2022-06,60
2022-07,53
2022-08,48
2022-09,47
2022-10,51
2022-11,49
2022-12,54
2023-01,71
2023-02,70
2023-03,61
2023-04,63
2023-05,58
2023-06,57
2023-07,61
2023-08,57
2023-09,21
2023-10,57
2023-11,63
2023-12,69
2024-01,72
2024-02,57
2024-03,56
2024-04,49
2024-05,51
2024-06,49
2024-07,57
2024-08,58
2024-09,57
2024-10,57
2024-11,58
2024-12,58
2025-01,58
2025-02,58
2025-03,54
2025-04,50
2025-05,50
2025-06,52
2025-07,49
2025-08,54
2025-09,49
