Category: Arts & Entertainment

Month,Horror: (Worldwide)
2010-01,46
2010-02,45
2010-03,44
2010-04,45
2010-05,48
2010-06,49
2010-07,53
2010-08,54
2010-09,48
2010-10,63
2010-11,49
2010-12,47
2011-01,54
2011-02,49
2011-03,45
2011-04,49
2011-05,48
2011-06,52
2011-07,58
2011-08,60
2011-09,56
2011-10,74
2011-11,68
2011-12,76
2012-01,75
2012-02,62
2012-03,56
2012-04,47
2012-05,47
2012-06,58
2012-07,65
2012-08,59
2012-09,58
2012-10,68
2012-11,54
2012-12,55
2013-01,58
2013-02,54
2013-03,60
2013-04,54
2013-05,60
2013-06,65
2013-07,68
2013-08,72
2013-09,66
2013-10,76
2013-11,67
2013-12,68
2014-01,69
2014-02,62
2014-03,66
2014-04,71
2014-05,72
2014-06,70
2014-07,79
2014-08,77
2014-09,73
2014-10,93
2014-11,73
2014-12,71
2015-01,78
2015-02,67
2015-03,66
2015-04,68
2015-05,70
2015-06,72
2015-07,73
2015-08,74
2015-09,66
2015-10,81
2015-11,65
2015-12,67
2016-01,69
2016-02,66
2016-03,64
2016-04,64
2016-05,71
2016-06,72
2016-07,79
2016-08,77
2016-09,79
2016-10,92
2016-11,88
2016-12,88
2017-01,94
2017-02,84
2017-03,85
2017-04,88
2017-05,84
2017-06,92
2017-07,100
2017-08,88
2017-09,69
2017-10,78
2017-11,59
2017-12,61
2018-01,65
2018-02,56
2018-03,59
2018-04,56
2018-05,54
2018-06,61
2018-07,67
2018-08,66
2018-09,64
2018-10,73
2018-11,58
2018-12,60
2019-01,59
2019-02,54
2019-03,54
2019-04,54
2019-05,52
2019-06,63
2019-07,61
2019-08,60
2019-09,57
2019-10,66
2019-11,52
2019-12,52
2020-01,58
2020-02,50
2020-03,63
2020-04,70
2020-05,61
2020-06,56
2020-07,59
2020-08,57
2020-09,54
2020-10,77
2020-11,58
2020-12,53
2021-01,55
2021-02,51
2021-03,49
2021-04,53
2021-05,56
2021-06,55
2021-07,57
2021-08,58
2021-09,50
2021-10,69
2021-11,50
2021-12,47
2022-01,54
2022-02,53
2022-03,49
2022-04,51
2022-05,57
2022-06,59
2022-07,64
2022-08,59
2022-09,58
2022-10,82
2022-11,54
2022-12,58
2023-01,61
2023-02,52
2023-03,55
2023-04,66
2023-05,58
2023-06,60
2023-07,65
2023-08,59
2023-09,61
2023-10,79
2023-11,55
2023-12,56
2024-01,55
2024-02,51
2024-03,57
2024-04,52
2024-05,56
2024-06,62
2024-07,63
2024-08,63
2024-09,62
2024-10,80
2024-11,59
2024-12,55
2025-01,55
2025-02,52
2025-03,52
2025-04,53
2025-05,54
2025-06,57
2025-07,57
2025-08,62
2025-09,60
