Category: Arts & Entertainment

Month,Romance: (Worldwide)
2010-01,37
2010-02,41
2010-03,38
2010-04,36
2010-05,42
2010-06,41
2010-07,42
2010-08,39
2010-09,35
2010-10,39
2010-11,38
2010-12,42
2011-01,43
2011-02,41
2011-03,40
2011-04,44
2011-05,43
2011-06,49
2011-07,51
2011-08,51
2011-09,49
2011-10,46
2011-11,49
2011-12,51
2012-01,50
2012-02,47
2012-03,42
2012-04,47
2012-05,44
2012-06,51
2012-07,55
2012-08,53
2012-09,50
2012-10,48
2012-11,49
2012-12,57
2013-01,55
2013-02,60
2013-03,57
2013-04,54
2013-05,55
2013-06,61
2013-07,65
2013-08,67
2013-09,62
2013-10,61
2013-11,67
2013-12,77
2014-01,69
2014-02,70
2014-03,66
2014-04,74
2014-05,73
2014-06,77
2014-07,77
2014-08,75
2014-09,67
2014-10,67
2014-11,72
2014-12,76
2015-01,77
2015-02,74
2015-03,70
2015-04,78
2015-05,74
2015-06,75
2015-07,74
2015-08,76
2015-09,72
2015-10,68
2015-11,69
2015-12,78
2016-01,75
2016-02,74
2016-03,67
2016-04,69
2016-05,70
2016-06,75
2016-07,82
2016-08,76
2016-09,71
2016-10,74
2016-11,64
2016-12,77
2017-01,56
2017-02,65
2017-03,42
2017-04,46
2017-05,68
2017-06,40
2017-07,33
2017-08,28
2017-09,21
2017-10,22
2017-11,22
2017-12,25
2018-01,23
2018-02,36
2018-03,71
2018-04,91
2018-05,94
2018-06,99
2018-07,100
2018-08,100
2018-09,91
2018-10,87
2018-11,95
2018-12,95
2019-01,87
2019-02,81
2019-03,83
2019-04,76
2019-05,65
2019-06,81
2019-07,74
2019-08,71
2019-09,65
2019-10,64
2019-11,65
2019-12,68
2020-01,66
2020-02,65
2020-03,65
2020-04,72
2020-05,84
2020-06,86
2020-07,86
2020-08,80
2020-09,84
2020-10,87
2020-11,83
2020-12,87
2021-01,86
2021-02,86
2021-03,81
2021-04,78
2021-05,86
2021-06,84
2021-07,81
2021-08,77
2021-09,90
2021-10,80
2021-11,77
2021-12,81
2022-01,82
2022-02,79
2022-03,72
2022-04,75
2022-05,78
2022-06,79
2022-07,81
2022-08,80
2022-09,73
2022-10,67
2022-11,68
2022-12,75
2023-01,80
2023-02,77
2023-03,59
2023-04,62
2023-05,60
2023-06,65
2023-07,64
2023-08,60
2023-09,54
2023-10,55
2023-11,52
2023-12,59
2024-01,60
2024-02,57
2024-03,50
2024-04,55
2024-05,60
2024-06,56
2024-07,56
2024-08,59
2024-09,53
2024-10,54
2024-11,57
2024-12,61
2025-01,58
2025-02,55
2025-03,49
2025-04,48
2025-05,52
2025-06,51
2025-07,51
2025-08,49
2025-09,45
