Category: Arts & Entertainment

Month,Science fiction: (Worldwide)
2010-01,69
2010-02,63
2010-03,59
2010-04,59
2010-05,60
2010-06,62
2010-07,68
2010-08,71
2010-09,58
2010-10,63
2010-11,64
2010-12,66
2011-01,71
2011-02,62
2011-03,64
2011-04,65
2011-05,61
2011-06,64
2011-07,65
2011-08,70
2011-09,61
2011-10,65
2011-11,68
2011-12,75
2012-01,70
2012-02,63
2012-03,63
2012-04,63
2012-05,62
2012-06,75
2012-07,75
2012-08,66
2012-09,59
2012-10,59
2012-11,55
2012-12,66
2013-01,67
2013-02,63
2013-03,65
2013-04,69
2013-05,69
2013-06,68
2013-07,71
2013-08,72
2013-09,71
2013-10,72
2013-11,75
2013-12,80
2014-01,85
2014-02,78
2014-03,76
2014-04,81
2014-05,83
2014-06,79
2014-07,83
2014-08,84
2014-09,76
2014-10,78
2014-11,90
2014-12,93
2015-01,94
2015-02,87
2015-03,87
2015-04,81
2015-05,85
2015-06,84
2015-07,89
2015-08,86
2015-09,82
2015-10,85
2015-11,82
2015-12,95
2016-01,89
2016-02,79
2016-03,72
2016-04,72
2016-05,70
2016-06,71
2016-07,74
2016-08,72
2016-09,72
2016-10,74
2016-11,63
2016-12,66
2017-01,55
2017-02,45
2017-03,45
2017-04,50
2017-05,48
2017-06,52
2017-07,62
2017-08,62
2017-09,57
2017-10,60
2017-11,62
2017-12,61
2018-01,62
2018-02,60
2018-03,63
2018-04,68
2018-05,62
2018-06,66
2018-07,64
2018-08,62
2018-09,63
2018-10,61
2018-11,63
2018-12,72
2019-01,75
2019-02,76
2019-03,74
2019-04,68
2019-05,72
2019-06,76
2019-07,75
2019-08,73
2019-09,68
2019-10,66
2019-11,66
2019-12,72
2020-01,71
2020-02,66
2020-03,91
2020-04,100
2020-05,92
2020-06,75
2020-07,75
2020-08,74
2020-09,73
2020-10,71
2020-11,74
2020-12,82
2021-01,81
2021-02,74
2021-03,66
2021-04,71
2021-05,73
2021-06,61
2021-07,65
2021-08,63
2021-09,56
2021-10,58
2021-11,55
2021-12,57
2022-01,80
2022-02,70
2022-03,66
2022-04,64
2022-05,61
2022-06,61
2022-07,63
2022-08,56
2022-09,56
2022-10,54
2022-11,57
2022-12,62
2023-01,64
2023-02,60
2023-03,53
2023-04,51
2023-05,46
2023-06,47
2023-07,47
2023-08,48
2023-09,37
2023-10,43
2023-11,53
2023-12,54
2024-01,53
2024-02,51
2024-03,53
2024-04,48
2024-05,51
2024-06,48
2024-07,51
2024-08,50
2024-09,48
2024-10,48
2024-11,50
2024-12,51
2025-01,53
2025-02,50
2025-03,49
2025-04,47
2025-05,46
2025-06,46
2025-07,45
2025-08,48
2025-09,44
