Category: Arts & Entertainment

Month,Thriller: (Worldwide)
2010-01,76
2010-02,70
2010-03,68
2010-04,61
2010-05,66
2010-06,76
2010-07,62
2010-08,58
2010-09,53
2010-10,83
2010-11,64
2010-12,60
2011-01,64
2011-02,67
2011-03,53
2011-04,55
2011-05,51
2011-06,57
2011-07,55
2011-08,56
2011-09,52
2011-10,83
2011-11,58
2011-12,52
2012-01,50
2012-02,45
2012-03,44
2012-04,44
2012-05,44
2012-06,48
2012-07,48
2012-08,46
2012-09,46
2012-10,70
2012-11,51
2012-12,48
2013-01,46
2013-02,45
2013-03,49
2013-04,45
2013-05,45
2013-06,51
2013-07,47
2013-08,50
2013-09,52
2013-10,76
2013-11,60
2013-12,57
2014-01,55
2014-02,49
2014-03,48
2014-04,50
2014-05,51
2014-06,49
2014-07,54
2014-08,54
2014-09,53
2014-10,74
2014-11,59
2014-12,52
2015-01,55
2015-02,52
2015-03,49
2015-04,47
2015-05,49
2015-06,50
2015-07,51
2015-08,56
2015-09,54
2015-10,83
2015-11,59
2015-12,55
2016-01,54
2016-02,49
2016-03,47
2016-04,46
2016-05,48
2016-06,48
2016-07,48
2016-08,48
2016-09,50
2016-10,71
2016-11,50
2016-12,55
2017-01,59
2017-02,57
2017-03,53
2017-04,52
2017-05,50
2017-06,51
2017-07,56
2017-08,56
2017-09,53
2017-10,75
2017-11,57
2017-12,56
2018-01,55
2018-02,53
2018-03,52
2018-04,49
2018-05,48
2018-06,49
2018-07,53
2018-08,51
2018-09,55
2018-10,70
2018-11,56
2018-12,56
2019-01,54
2019-02,51
2019-03,52
2019-04,52
2019-05,47
2019-06,51
2019-07,54
2019-08,53
2019-09,51
2019-10,65
2019-11,55
2019-12,52
2020-01,54
2020-02,51
2020-03,74
2020-04,100
2020-05,87
2020-06,70
2020-07,69
2020-08,69
2020-09,57
2020-10,70
2020-11,54
2020-12,65
2021-01,66
2021-02,61
2021-03,56
2021-04,62
2021-05,78
2021-06,63
2021-07,64
2021-08,62
2021-09,51
2021-10,63
2021-11,54
2021-12,51
2022-01,69
2022-02,58
2022-03,59
2022-04,58
2022-05,56
2022-06,59
2022-07,65
2022-08,62
2022-09,63
2022-10,75
2022-11,64
2022-12,65
2023-01,67
2023-02,61
2023-03,59
2023-04,65
2023-05,62
2023-06,68
2023-07,72
2023-08,67
2023-09,64
2023-10,76
2023-11,63
2023-12,73
2024-01,69
2024-02,64
2024-03,62
2024-04,62
2024-05,63
2024-06,67
2024-07,67
2024-08,72
2024-09,68
2024-10,90
2024-11,79
2024-12,77
2025-01,71
2025-02,70
2025-03,65
2025-04,63
2025-05,69
2025-06,68
2025-07,68
2025-08,73
2025-09,68
