genre,year,yhat,yhat_lower,yhat_upper,model,order,aic,n_obs,model_version,created_at
Action,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828
Action,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828
Action,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828
Action,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828
Action,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828
Adventure,2021,0.0,0.0,19.48268668118797,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828
Adventure,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828
Adventure,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828
Adventure,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828
Adventure,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828
Animation,2021,18.415086208678208,0.0,44.58469569651774,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828
Animation,2022,18.31197145718898,0.0,56.53288606633323,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828
Animation,2023,18.208856705699755,0.0,65.50397449150267,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828
Animation,2024,18.10574195421053,0.0,72.9948849534089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828
Animation,2025,18.002627202721303,0.0,79.55592014469089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828
Comedy,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828
Comedy,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828
Comedy,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828
Comedy,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828
Comedy,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828
Documentary,2020,1.0,0.8,1.2,naive,n/a,,1,v0.1-baseline,2025-09-08T16:12:05.549828
Documentary,2021,1.0,0.8,1.2,naive,n/a,,1,v0.1-baseline,2025-09-08T16:12:05.549828
Documentary,2022,1.0,0.8,1.2,naive,n/a,,1,v0.1-baseline,2025-09-08T16:12:05.549828
Documentary,2023,1.0,0.8,1.2,naive,n/a,,1,v0.1-baseline,2025-09-08T16:12:05.549828
Documentary,2024,1.0,0.8,1.2,naive,n/a,,1,v0.1-baseline,2025-09-08T16:12:05.549828
Drama,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828
Drama,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828
Drama,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828
Drama,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828
Drama,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",494.9432363751606,41,v0.1-baseline,2025-09-08T16:12:05.549828
Family,2021,11.199165491187664,0.0,47.39597806397736,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828
Family,2022,10.829047324231341,0.0,67.6499761965991,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828
Family,2023,10.45892915727502,0.0,82.20171050430453,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828
Family,2024,10.088810990318697,0.0,94.1449552802913,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828
Family,2025,9.718692823362375,0.0,104.50183536667387,SARIMAX,"(0, 1, 1)",335.4607116211654,41,v0.1-baseline,2025-09-08T16:12:05.549828
Fantasy,2021,10.10443216968913,0.0,43.21904870874522,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828
Fantasy,2022,9.463680462827,0.0,61.20556923618026,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828
Fantasy,2023,8.82292875596487,0.0,74.07527184906301,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828
Fantasy,2024,8.18217704910274,0.0,84.59234328661807,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828
Fantasy,2025,7.541425342240611,0.0,93.67596388369947,SARIMAX,"(0, 1, 1)",328.69611538410845,41,v0.1-baseline,2025-09-08T16:12:05.549828
Horror,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828
Horror,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",403.50823750610834,41,v0.1-baseline,2025-09-08T16:12:05.549828
