genre,year,yhat_base,yhat_lower_base,yhat_upper_base,model_base,order_x,aic_x,n_obs_base,model_version_x,created_at_x,yhat_with,yhat_lower_with,yhat_upper_with,model_with,order_y,aic_y,n_obs_with,model_version_y,created_at_y
Action,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,271.37377073600663,217.0990165888053,325.648524883208,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,335.1302551072092,268.1042040857673,402.156306128651,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,365.7222578228245,292.5778062582596,438.8667093873894,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,381.7688715624647,305.4150972499717,458.1226458749576,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",407.9178972824773,41,v0.1-baseline,2025-09-08T16:12:05.549828,391.4361200926752,313.14889607414017,469.7233441112102,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2021,0.0,0.0,19.48268668118797,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2023,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2024,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2025,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",357.6568841321067,41,v0.1-baseline,2025-09-08T16:12:05.549828,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2021,18.415086208678208,0.0,44.58469569651774,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,34.061379962649255,27.249103970119403,40.8736559551791,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2022,18.31197145718898,0.0,56.53288606633323,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,42.33118853551762,33.864950828414095,50.79742624262114,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2023,18.208856705699755,0.0,65.50397449150267,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,48.65454278524938,38.923634228199504,58.38545134229926,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2024,18.10574195421053,0.0,72.9948849534089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,53.6207100234197,42.89656801873576,64.34485202810365,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2025,18.002627202721303,0.0,79.55592014469089,SARIMAX,"(0, 1, 1)",310.8063810034246,41,v0.1-baseline,2025-09-08T16:12:05.549828,57.64056346297858,46.112450770382864,69.1686761555743,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2021,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,321.9225274934625,257.53802199477,386.3070329921551,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2022,0.0,0.0,0.0,SARIMAX,"(1, 1, 1)",450.9528492029361,41,v0.1-baseline,2025-09-08T16:12:05.549828,407.42530473741766,325.94024378993413,488.9103656849012,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
