genre,year,yhat,yhat_lower,yhat_upper,model,order,aic,n_obs,model_version,created_at
Action,2021,271.37377073600663,217.0990165888053,325.648524883208,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2022,335.13025510720917,268.1042040857673,402.156306128651,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2023,365.7222578228245,292.57780625825956,438.8667093873894,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2024,381.76887156246465,305.4150972499717,458.1226458749576,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Action,2025,391.4361200926752,313.14889607414017,469.7233441112102,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2021,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2022,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2023,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2024,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Adventure,2025,55.0,44.0,66.0,Ridge-AR1+Hype (degenerate→naive),ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2021,34.061379962649255,27.249103970119403,40.8736559551791,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2022,42.33118853551762,33.864950828414095,50.79742624262114,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2023,48.65454278524938,38.923634228199504,58.38545134229926,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2024,53.620710023419704,42.89656801873576,64.34485202810365,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Animation,2025,57.640563462978584,46.112450770382864,69.1686761555743,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2021,321.92252749346255,257.53802199477,386.3070329921551,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2022,407.42530473741766,325.94024378993413,488.9103656849012,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2023,476.736199746451,381.3889597971608,572.0834396957412,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2024,533.2077090085455,426.56616720683644,639.8492508102546,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Comedy,2025,579.4982013902704,463.5985611122163,695.3978416683245,Ridge-AR1+Hype,ridge_ar1,,40,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2021,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2022,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
Documentary,2023,1.0,0.0,3.0,Ridge-AR1+Hype (naive fallback),ridge_ar1,,0,v0.3.1-ridge-ar1-hype,2025-09-09T15:33:12.646130+00:00
