genre,year,title_count,votes_median
Action,1980,83,642.0
Action,1981,80,707.5
Action,1982,101,470.0
Action,1983,97,589.0
Action,1984,108,607.5
Action,1985,116,898.5
Action,1986,152,458.0
Action,1987,140,549.5
Action,1988,162,355.0
Action,1989,182,462.0
Action,1990,157,683.0
Action,1991,146,728.0
Action,1992,146,632.5
Action,1993,169,786.0
Action,1994,180,520.0
Action,1995,193,597.0
Action,1996,157,485.0
Action,1997,179,615.0
Action,1998,164,720.5
Action,1999,178,665.0
Action,2000,162,813.0
Action,2001,208,1041.0
Action,2002,193,1252.0
Action,2003,214,1312.5
Action,2004,231,1398.0
Action,2005,212,1169.0
Action,2006,228,1097.0
Action,2007,259,1270.0
Action,2008,275,1184.0
Action,2009,311,1212.0
Action,2010,331,1084.0
Action,2011,329,1104.0
Action,2012,341,1255.0
Action,2013,364,1568.5
Action,2014,405,1317.0
Action,2015,409,1160.0
Action,2016,468,960.0
Action,2017,467,1153.0
Action,2018,453,1116.0
Action,2019,405,770.0
Action,2020,132,826.5
Adventure,1980,57,1213.0
Adventure,1981,57,1027.0
Adventure,1982,54,1133.0
Adventure,1983,64,864.0
Adventure,1984,59,1318.0
Adventure,1985,74,1935.0
Adventure,1986,77,1135.0
Adventure,1987,84,468.0
Adventure,1988,63,902.0
Adventure,1989,68,1003.0
Adventure,1990,57,951.0
Adventure,1991,59,852.0
Adventure,1992,57,835.0
Adventure,1993,49,2822.0
Adventure,1994,65,4498.0
Adventure,1995,72,2641.5
Adventure,1996,78,1126.5
Adventure,1997,64,2519.5
Adventure,1998,75,1937.0
Adventure,1999,72,682.0
Adventure,2000,75,1213.0
Adventure,2001,85,779.0
Adventure,2002,90,1872.5
Adventure,2003,112,1468.5
Adventure,2004,109,1552.0
Adventure,2005,113,2483.0
Adventure,2006,134,2466.0
Adventure,2007,123,1446.0
Adventure,2008,132,2248.5
Adventure,2009,148,1018.0
Adventure,2010,124,1147.5
Adventure,2011,153,1280.0
Adventure,2012,167,1518.0
Adventure,2013,207,1433.0
Adventure,2014,198,1443.0
Adventure,2015,209,1286.0
Adventure,2016,217,985.0
Adventure,2017,241,920.0
Adventure,2018,217,824.0
Adventure,2019,180,767.5
Adventure,2020,55,585.0
Animation,1980,10,242.5
Animation,1981,15,775.0
Animation,1982,22,374.0
Animation,1983,16,501.5
Animation,1984,15,425.0
Animation,1985,20,847.0
Animation,1986,27,834.0
Animation,1987,20,380.0
Animation,1988,21,1057.0
Animation,1989,19,1236.0
Animation,1990,11,2127.0
